#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 231  0.6832161597775E-06  0.7965715031246E-06  0.8796451385468E-06  0.9627187739691E-06
 232  0.6755717769991E-06  0.7813892220434E-06  0.8636450730965E-06  0.9459009241496E-06
 233  0.6677148497816E-06  0.7736039618674E-06  0.8508792698827E-06  0.9281545778980E-06
 234  0.6605082965813E-06  0.7605926485358E-06  0.8389760245913E-06  0.9173594006469E-06
 235  0.6532475325081E-06  0.7619524183542E-06  0.8437731095909E-06  0.9255938008277E-06
 236  0.6454739912725E-06  0.7452303155527E-06  0.8235112027093E-06  0.9017920898660E-06
 237  0.6386913366534E-06  0.7362337851557E-06  0.8124938734580E-06  0.8887539617603E-06
 238  0.6339158677686E-06  0.7344205014713E-06  0.8101377331788E-06  0.8858549648862E-06
 239  0.6293550563581E-06  0.7349586203238E-06  0.8114245014863E-06  0.8878903826489E-06
 240  0.6231441482452E-06  0.7256430193511E-06  0.7973799270548E-06  0.8691168347585E-06
 241  0.6164625826724E-06  0.7312454504863E-06  0.8101066274954E-06  0.8889678045044E-06
 242  0.6111245665561E-06  0.7116897197348E-06  0.7859908265785E-06  0.8602919334223E-06
 243  0.6062185313410E-06  0.7283834635664E-06  0.8063399015712E-06  0.8842963395760E-06
 244  0.5999825513311E-06  0.7169066345258E-06  0.7951945113727E-06  0.8734823882195E-06
 245  0.5929356849128E-06  0.7016935447051E-06  0.7735652331824E-06  0.8454369216597E-06
 246  0.5866034324740E-06  0.7094634052392E-06  0.7803712123999E-06  0.8512790195605E-06
 247  0.5809024384660E-06  0.7216464634744E-06  0.8006002060845E-06  0.8795539486946E-06
 248  0.5748564361725E-06  0.7118736940224E-06  0.7859878757761E-06  0.8601020575298E-06
 249  0.5686808293039E-06  0.7101628748724E-06  0.7917693433439E-06  0.8733758118155E-06
 250  0.5632346668328E-06  0.7100005737572E-06  0.7870784290887E-06  0.8641562844202E-06
 251  0.5581532909063E-06  0.7164855009630E-06  0.7908158516364E-06  0.8651462023098E-06
 252  0.5523293863018E-06  0.7265060488689E-06  0.8086619199733E-06  0.8908177910777E-06
